,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
8072,INV-16789600102,01/07/2019,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761,POINT (-91.035138 41.451349),70.0,MUSCATINE,1071100.0,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57129,Chi-Chi's Mexican Mudslide,6,1750,6.5,9.75,3,27.78,5.25,1.38
8073,INV-16759800087,01/04/2019,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77.0,POLK,1012200.0,Scotch Whiskies,55,SAZERAC NORTH AMERICA,8828,Lauder's,6,1750,10.52,15.78,6,100.62,10.5,2.77
8074,INV-16705900094,01/03/2019,2616,Hy-Vee Food and Drug / Clinton,901 South 4th St,Clinton,52732,POINT (-90.193204 41.836268000000004),23.0,CLINTON,1011100.0,Blended Whiskies,297,Laird & Company,23828,Five Star,6,1750,7.62,11.43,6,68.58,10.5,2.77
8075,INV-16774200045,01/07/2019,3707,Target Store T-1768 / Cedar Rapids,1030 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.649625 42.035157),57.0,LINN,1071100.0,Cocktails /RTD,395,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,12,157.32,21.0,5.54
8076,INV-16766100022,01/07/2019,4169,Super Quick 2 / Hubbell,1824 Hubbell Ave,Des Moines,50317,,77.0,POLK,1081300.0,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75197,Kinky Aloha,6,750,10.0,15.0,2,30.0,1.5,0.39
8077,INV-16738600037,01/04/2019,5251,Northside Liquor,"1303, North Federal",Mason City,50401,POINT (-93.201061 43.163663),17.0,CERRO GORD,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
8078,INV-16769800014,01/07/2019,4143,Bucky's,603  E HWY 24,Lawler,52154,POINT (-92.14835 43.06721),19.0,CHICKASAW,1032200.0,Imported Flavored Vodka,277,STOLI GROUP,34787,Stolichnaya Blueberi,12,1000,15.97,23.96,3,71.88,3.0,0.79
8079,INV-16678000057,01/02/2019,2532,Hy-Vee Food Store #2 / Des Moines,2540 E Euclid,Des Moines,50317,POINT (-93.569452 41.627838),77.0,POLK,1071100.0,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57120,Chi-Chi's Long Island Iced Tea,6,1750,6.5,9.75,6,55.56,10.5,2.77
8080,INV-16786800014,01/07/2019,5517,Mepo Foods / Mediapolis,111 Wapello St N,Mediapolis,52637,POINT (-91.170033 41.008539),29.0,DES MOINES,1031100.0,American Vodkas,260,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,8.25,12.38,2,24.76,1.5,0.39
8081,INV-16775800033,01/07/2019,4153,Fareway Stores #067 / Evansdale,215 S Evans Rd,Evansdale,50707,POINT (-92.287834 42.475631),7.0,BLACK HAWK,1011200.0,Straight Bourbon Whiskies,65,Jim Beam Brands,27780,Jim Beam Apple Mini,12,500,5.4,8.1,1,8.1,0.5,0.13
