County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Van Buren,2016-2020,"6,914",36,21,11,0,14,34,24,0,14,25,30,110,26
Van Buren,2011-2015,"7,278",30,45,42,9,10,18,17,0,13,6,10,76,22
Wapello,2016-2020,"30,517",365,"1,298",145,86,83,507,71,303,19,"1,322",331,"1,069",245
Wapello,2011-2015,"32,494",414,728,111,55,48,317,35,7,11,"1,239",415,475,113
Warren,2016-2020,"48,594",164,301,172,24,30,388,88,141,123,325,153,"1,094",231
Warren,2011-2015,"46,034",111,239,113,98,76,183,51,51,77,177,83,760,126
Washington,2016-2020,"20,790",266,147,48,45,30,97,31,6,7,579,264,436,68
Washington,2011-2015,"21,112",179,183,77,2,3,101,45,12,18,255,140,352,104
Wayne,2016-2020,"6,165",77,12,12,31,28,5,12,0,14,35,30,178,85
Wayne,2011-2015,"6,235",53,30,15,20,20,4,6,0,13,0,13,95,49
Webster,2016-2020,"32,516",278,"1,567",163,114,43,494,19,5,5,573,256,"1,079",139
Webster,2011-2015,"34,283",196,"1,604",156,144,51,406,37,0,20,276,146,582,156
Winnebago,2016-2020,"9,920",62,162,57,31,47,132,8,0,16,82,59,147,76
Winnebago,2011-2015,"10,168",76,98,60,80,62,115,12,1,2,38,30,114,65
Winneshiek,2016-2020,"19,347",85,183,97,67,69,183,78,2,5,154,81,154,80
Winneshiek,2011-2015,"20,189",81,198,22,62,60,259,79,0,17,62,59,114,63
Woodbury,2016-2020,"85,615",812,"3,860",535,"1,872",331,"2,664",212,413,60,"2,669",666,"5,594",903
Woodbury,2011-2015,"87,371",838,"2,862",303,"1,859",242,"2,681",158,20,32,"4,728",791,"3,009",561
Worth,2016-2020,"7,065",45,60,32,0,14,31,17,2,3,39,29,225,59
Worth,2011-2015,"7,351",33,73,34,10,11,12,8,0,13,19,18,98,42
Wright,2016-2020,"11,829",236,19,23,2,5,12,15,0,16,380,216,402,121
Wright,2011-2015,"12,247",180,49,30,31,37,65,14,14,22,367,180,163,42
