County,Income,Families,Families ME,Year
Delaware,"$40,000 to $44,999",166,79,2016-2020
Delaware,"$45,000 to $49,999",211,96,2016-2020
Delaware,"$50,000 to $59,999",315,103,2016-2020
Delaware,"$60,000 to $74,999",773,139,2016-2020
Delaware,"$75,000 to $99,999",766,155,2016-2020
Delaware,"$100,000 to $124,999",598,124,2016-2020
Delaware,"$125,000 to $149,999",531,149,2016-2020
Delaware,"$150,000 to $199,999",295,98,2016-2020
Delaware,"$200,000 or more",240,79,2016-2020
Des Moines,"Less than $10,000",499,166,2016-2020
Des Moines,"$10,000 to $14,999",304,127,2016-2020
Des Moines,"$15,000 to $19,999",417,161,2016-2020
Des Moines,"$20,000 to $24,999",371,127,2016-2020
Des Moines,"$25,000 to $29,999",324,111,2016-2020
Des Moines,"$30,000 to $34,999",503,142,2016-2020
Des Moines,"$35,000 to $39,999",352,112,2016-2020
Des Moines,"$40,000 to $44,999",511,140,2016-2020
Des Moines,"$45,000 to $49,999",344,111,2016-2020
Des Moines,"$50,000 to $59,999",975,194,2016-2020
Des Moines,"$60,000 to $74,999","1,304",171,2016-2020
Des Moines,"$75,000 to $99,999","1,672",227,2016-2020
Des Moines,"$100,000 to $124,999","1,056",153,2016-2020
Des Moines,"$125,000 to $149,999",703,148,2016-2020
Des Moines,"$150,000 to $199,999",656,129,2016-2020
Des Moines,"$200,000 or more",513,154,2016-2020
Dickinson,"Less than $10,000",29,19,2016-2020
Dickinson,"$10,000 to $14,999",94,58,2016-2020
Dickinson,"$15,000 to $19,999",83,44,2016-2020
Dickinson,"$20,000 to $24,999",152,88,2016-2020
Dickinson,"$25,000 to $29,999",128,73,2016-2020
Dickinson,"$30,000 to $34,999",250,83,2016-2020
Dickinson,"$35,000 to $39,999",224,123,2016-2020
Dickinson,"$40,000 to $44,999",267,105,2016-2020
Dickinson,"$45,000 to $49,999",168,77,2016-2020
Dickinson,"$50,000 to $59,999",534,127,2016-2020
