County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Dallas,2020,"80,317",598,"1,720",246,95,89,"4,163",357,104,123,776,353,"3,243",792
Dallas,2011,"68,894",356,843,166,50,32,"2,551",166,68,71,926,355,"1,560",235
Dallas,2012,"68,894",356,843,166,50,32,"2,551",166,68,71,926,355,"1,560",235
Dallas,2013,"68,894",356,843,166,50,32,"2,551",166,68,71,926,355,"1,560",235
Dallas,2014,"68,894",356,843,166,50,32,"2,551",166,68,71,926,355,"1,560",235
Dallas,2015,"68,894",356,843,166,50,32,"2,551",166,68,71,926,355,"1,560",235
Davis,2016,"8,753",46,0,14,38,47,51,41,0,14,19,25,116,45
Davis,2017,"8,753",46,0,14,38,47,51,41,0,14,19,25,116,45
Davis,2018,"8,753",46,0,14,38,47,51,41,0,14,19,25,116,45
Davis,2019,"8,753",46,0,14,38,47,51,41,0,14,19,25,116,45
Davis,2020,"8,753",46,0,14,38,47,51,41,0,14,19,25,116,45
Davis,2011,"8,612",13,18,18,0,13,27,10,0,13,0,13,85,22
Davis,2012,"8,612",13,18,18,0,13,27,10,0,13,0,13,85,22
Davis,2013,"8,612",13,18,18,0,13,27,10,0,13,0,13,85,22
Davis,2014,"8,612",13,18,18,0,13,27,10,0,13,0,13,85,22
Davis,2015,"8,612",13,18,18,0,13,27,10,0,13,0,13,85,22
Decatur,2016,"7,451",57,96,38,0,14,75,34,14,18,34,26,238,57
Decatur,2017,"7,451",57,96,38,0,14,75,34,14,18,34,26,238,57
Decatur,2018,"7,451",57,96,38,0,14,75,34,14,18,34,26,238,57
Decatur,2019,"7,451",57,96,38,0,14,75,34,14,18,34,26,238,57
Decatur,2020,"7,451",57,96,38,0,14,75,34,14,18,34,26,238,57
Decatur,2011,"7,875",24,139,30,42,13,58,26,13,16,11,15,111,43
Decatur,2012,"7,875",24,139,30,42,13,58,26,13,16,11,15,111,43
Decatur,2013,"7,875",24,139,30,42,13,58,26,13,16,11,15,111,43
Decatur,2014,"7,875",24,139,30,42,13,58,26,13,16,11,15,111,43
Decatur,2015,"7,875",24,139,30,42,13,58,26,13,16,11,15,111,43
Delaware,2016,"16,559",133,40,47,16,17,85,58,0,16,109,92,298,88
Delaware,2017,"16,559",133,40,47,16,17,85,58,0,16,109,92,298,88
Delaware,2018,"16,559",133,40,47,16,17,85,58,0,16,109,92,298,88
Delaware,2019,"16,559",133,40,47,16,17,85,58,0,16,109,92,298,88
Delaware,2020,"16,559",133,40,47,16,17,85,58,0,16,109,92,298,88
Delaware,2011,"17,202",51,39,43,3,4,59,12,0,15,7,8,197,66
Delaware,2012,"17,202",51,39,43,3,4,59,12,0,15,7,8,197,66
Delaware,2013,"17,202",51,39,43,3,4,59,12,0,15,7,8,197,66
Delaware,2014,"17,202",51,39,43,3,4,59,12,0,15,7,8,197,66
Delaware,2015,"17,202",51,39,43,3,4,59,12,0,15,7,8,197,66
Des Moines,2016,"35,184",103,"2,375",238,44,61,363,96,2,6,132,98,"1,127",267
Des Moines,2017,"35,184",103,"2,375",238,44,61,363,96,2,6,132,98,"1,127",267
Des Moines,2018,"35,184",103,"2,375",238,44,61,363,96,2,6,132,98,"1,127",267
Des Moines,2019,"35,184",103,"2,375",238,44,61,363,96,2,6,132,98,"1,127",267
Des Moines,2020,"35,184",103,"2,375",238,44,61,363,96,2,6,132,98,"1,127",267
Des Moines,2011,"36,545",92,"2,194",192,45,54,252,69,0,20,128,75,"1,044",218
Des Moines,2012,"36,545",92,"2,194",192,45,54,252,69,0,20,128,75,"1,044",218
Des Moines,2013,"36,545",92,"2,194",192,45,54,252,69,0,20,128,75,"1,044",218
Des Moines,2014,"36,545",92,"2,194",192,45,54,252,69,0,20,128,75,"1,044",218
Des Moines,2015,"36,545",92,"2,194",192,45,54,252,69,0,20,128,75,"1,044",218
Dickinson,2016,"16,696",80,31,34,30,23,171,61,0,16,58,60,274,89
Dickinson,2017,"16,696",80,31,34,30,23,171,61,0,16,58,60,274,89
Dickinson,2018,"16,696",80,31,34,30,23,171,61,0,16,58,60,274,89
Dickinson,2019,"16,696",80,31,34,30,23,171,61,0,16,58,60,274,89
