"County","Year","HighIncome","LowIncome","MidIncome"
"Mills",2016,1069,495,2111
"Mills",2017,1069,495,2111
"Mills",2018,1069,495,2111
"Mills",2019,1069,495,2111
"Mills",2020,1069,495,2111
"Mitchell",2011,351,748,1826
"Mitchell",2012,351,748,1826
"Mitchell",2013,351,748,1826
"Mitchell",2014,351,748,1826
"Mitchell",2015,351,748,1826
"Mitchell",2016,577,545,1826
"Mitchell",2017,577,545,1826
"Mitchell",2018,577,545,1826
"Mitchell",2019,577,545,1826
"Mitchell",2020,577,545,1826
"Monona",2011,212,779,1427
"Monona",2012,212,779,1427
"Monona",2013,212,779,1427
"Monona",2014,212,779,1427
"Monona",2015,212,779,1427
"Monona",2016,445,500,1450
"Monona",2017,445,500,1450
"Monona",2018,445,500,1450
"Monona",2019,445,500,1450
"Monona",2020,445,500,1450
"Monroe",2011,198,620,1328
"Monroe",2012,198,620,1328
"Monroe",2013,198,620,1328
"Monroe",2014,198,620,1328
"Monroe",2015,198,620,1328
"Monroe",2016,256,292,1449
"Monroe",2017,256,292,1449
"Monroe",2018,256,292,1449
"Monroe",2019,256,292,1449
"Monroe",2020,256,292,1449
"Montgomery",2011,263,1111,1756
"Montgomery",2012,263,1111,1756
"Montgomery",2013,263,1111,1756
"Montgomery",2014,263,1111,1756
"Montgomery",2015,263,1111,1756
"Montgomery",2016,345,739,1753
"Montgomery",2017,345,739,1753
"Montgomery",2018,345,739,1753
"Montgomery",2019,345,739,1753
"Montgomery",2020,345,739,1753
"Muscatine",2011,1258,2964,7201
"Muscatine",2012,1258,2964,7201
"Muscatine",2013,1258,2964,7201
"Muscatine",2014,1258,2964,7201
"Muscatine",2015,1258,2964,7201
"Muscatine",2016,2161,2616,6338
"Muscatine",2017,2161,2616,6338
"Muscatine",2018,2161,2616,6338
"Muscatine",2019,2161,2616,6338
"Muscatine",2020,2161,2616,6338
"O'Brien",2011,504,829,2584
"O'Brien",2012,504,829,2584
"O'Brien",2013,504,829,2584
"O'Brien",2014,504,829,2584
"O'Brien",2015,504,829,2584
"O'Brien",2016,618,661,2334
"O'Brien",2017,618,661,2334
"O'Brien",2018,618,661,2334
"O'Brien",2019,618,661,2334
"O'Brien",2020,618,661,2334
"Osceola",2011,180,449,1105
"Osceola",2012,180,449,1105
"Osceola",2013,180,449,1105
"Osceola",2014,180,449,1105
"Osceola",2015,180,449,1105
"Osceola",2016,242,352,1047
"Osceola",2017,242,352,1047
"Osceola",2018,242,352,1047
"Osceola",2019,242,352,1047
"Osceola",2020,242,352,1047
"Page",2011,445,1226,2300
"Page",2012,445,1226,2300
"Page",2013,445,1226,2300
"Page",2014,445,1226,2300
"Page",2015,445,1226,2300
"Page",2016,503,966,2412
"Page",2017,503,966,2412
"Page",2018,503,966,2412
"Page",2019,503,966,2412
"Page",2020,503,966,2412
"Palo Alto",2011,270,699,1558
"Palo Alto",2012,270,699,1558
"Palo Alto",2013,270,699,1558
"Palo Alto",2014,270,699,1558
"Palo Alto",2015,270,699,1558
"Palo Alto",2016,349,371,1458
"Palo Alto",2017,349,371,1458
"Palo Alto",2018,349,371,1458
"Palo Alto",2019,349,371,1458
"Palo Alto",2020,349,371,1458
"Plymouth",2011,1106,1483,4365
"Plymouth",2012,1106,1483,4365
"Plymouth",2013,1106,1483,4365
"Plymouth",2014,1106,1483,4365
"Plymouth",2015,1106,1483,4365
"Plymouth",2016,1663,1146,4637
"Plymouth",2017,1663,1146,4637
"Plymouth",2018,1663,1146,4637
"Plymouth",2019,1663,1146,4637
"Plymouth",2020,1663,1146,4637
"Pocahontas",2011,198,553,1149
"Pocahontas",2012,198,553,1149
"Pocahontas",2013,198,553,1149
"Pocahontas",2014,198,553,1149
"Pocahontas",2015,198,553,1149
"Pocahontas",2016,224,503,1131
"Pocahontas",2017,224,503,1131
"Pocahontas",2018,224,503,1131
"Pocahontas",2019,224,503,1131
"Pocahontas",2020,224,503,1131
"Polk",2011,24730,26570,63017
"Polk",2012,24730,26570,63017
"Polk",2013,24730,26570,63017
"Polk",2014,24730,26570,63017
"Polk",2015,24730,26570,63017
"Polk",2016,33902,20847,62371
"Polk",2017,33902,20847,62371
"Polk",2018,33902,20847,62371
"Polk",2019,33902,20847,62371
"Polk",2020,33902,20847,62371
"Pottawattamie",2011,3464,6437,14547
"Pottawattamie",2012,3464,6437,14547
"Pottawattamie",2013,3464,6437,14547
"Pottawattamie",2014,3464,6437,14547
"Pottawattamie",2015,3464,6437,14547
"Pottawattamie",2016,4729,5089,13837
"Pottawattamie",2017,4729,5089,13837
