County,Poverty ,Year,Middle-Old,Middle-Young,Old,Young,Population,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME,HighIncome,LowIncome,MidIncome
Cerro Gordo,9.50,2016.00,8429.00,6931.00,12529.00,4446.00,43107.00,39878.00,227.00,906.00,255.00,154.00,81.00,488.00,91.00,91.00,89.00,285.00,125.00,870.00,252.00,2152.00,2308.00,7072.00
Cerro Gordo,9.50,2017.00,8429.00,6931.00,12529.00,4446.00,43030.00,39878.00,227.00,906.00,255.00,154.00,81.00,488.00,91.00,91.00,89.00,285.00,125.00,870.00,252.00,2152.00,2308.00,7072.00
Cerro Gordo,9.50,2018.00,8429.00,6931.00,12529.00,4446.00,42643.00,39878.00,227.00,906.00,255.00,154.00,81.00,488.00,91.00,91.00,89.00,285.00,125.00,870.00,252.00,2152.00,2308.00,7072.00
Cerro Gordo,9.50,2019.00,8429.00,6931.00,12529.00,4446.00,42477.00,39878.00,227.00,906.00,255.00,154.00,81.00,488.00,91.00,91.00,89.00,285.00,125.00,870.00,252.00,2152.00,2308.00,7072.00
Cerro Gordo,9.50,2020.00,8429.00,6931.00,12529.00,4446.00,42103.00,39878.00,227.00,906.00,255.00,154.00,81.00,488.00,91.00,91.00,89.00,285.00,125.00,870.00,252.00,2152.00,2308.00,7072.00
Cherokee,11.80,2016.00,2062.00,1850.00,3714.00,1086.00,11386.00,10479.00,117.00,344.00,133.00,0.00,16.00,125.00,74.00,0.00,16.00,8.00,10.00,325.00,130.00,611.00,629.00,1885.00
Cherokee,11.80,2017.00,2062.00,1850.00,3714.00,1086.00,11315.00,10479.00,117.00,344.00,133.00,0.00,16.00,125.00,74.00,0.00,16.00,8.00,10.00,325.00,130.00,611.00,629.00,1885.00
Cherokee,11.80,2018.00,2062.00,1850.00,3714.00,1086.00,11281.00,10479.00,117.00,344.00,133.00,0.00,16.00,125.00,74.00,0.00,16.00,8.00,10.00,325.00,130.00,611.00,629.00,1885.00
Cherokee,11.80,2019.00,2062.00,1850.00,3714.00,1086.00,11231.00,10479.00,117.00,344.00,133.00,0.00,16.00,125.00,74.00,0.00,16.00,8.00,10.00,325.00,130.00,611.00,629.00,1885.00
Cherokee,11.80,2020.00,2062.00,1850.00,3714.00,1086.00,11190.00,10479.00,117.00,344.00,133.00,0.00,16.00,125.00,74.00,0.00,16.00,8.00,10.00,325.00,130.00,611.00,629.00,1885.00
Chickasaw,7.80,2016.00,2309.00,1795.00,3490.00,1315.00,12098.00,11696.00,67.00,65.00,44.00,16.00,18.00,12.00,17.00,2.00,4.00,53.00,62.00,126.00,41.00,588.00,691.00,2042.00
Chickasaw,7.80,2017.00,2309.00,1795.00,3490.00,1315.00,12008.00,11696.00,67.00,65.00,44.00,16.00,18.00,12.00,17.00,2.00,4.00,53.00,62.00,126.00,41.00,588.00,691.00,2042.00
Chickasaw,7.80,2018.00,2309.00,1795.00,3490.00,1315.00,11965.00,11696.00,67.00,65.00,44.00,16.00,18.00,12.00,17.00,2.00,4.00,53.00,62.00,126.00,41.00,588.00,691.00,2042.00
Chickasaw,7.80,2019.00,2309.00,1795.00,3490.00,1315.00,11943.00,11696.00,67.00,65.00,44.00,16.00,18.00,12.00,17.00,2.00,4.00,53.00,62.00,126.00,41.00,588.00,691.00,2042.00
Chickasaw,7.80,2020.00,2309.00,1795.00,3490.00,1315.00,11834.00,11696.00,67.00,65.00,44.00,16.00,18.00,12.00,17.00,2.00,4.00,53.00,62.00,126.00,41.00,588.00,691.00,2042.00
Clarke,17.40,2016.00,1850.00,1680.00,2378.00,870.00,9293.00,9046.00,37.00,11.00,14.00,33.00,34.00,5.00,7.00,0.00,14.00,41.00,33.00,247.00,37.00,314.00,582.00,1541.00
Clarke,17.40,2017.00,1850.00,1680.00,2378.00,870.00,9395.00,9046.00,37.00,11.00,14.00,33.00,34.00,5.00,7.00,0.00,14.00,41.00,33.00,247.00,37.00,314.00,582.00,1541.00
Clarke,17.40,2018.00,1850.00,1680.00,2378.00,870.00,9489.00,9046.00,37.00,11.00,14.00,33.00,34.00,5.00,7.00,0.00,14.00,41.00,33.00,247.00,37.00,314.00,582.00,1541.00
Clarke,17.40,2019.00,1850.00,1680.00,2378.00,870.00,9382.00,9046.00,37.00,11.00,14.00,33.00,34.00,5.00,7.00,0.00,14.00,41.00,33.00,247.00,37.00,314.00,582.00,1541.00
Clarke,17.40,2020.00,1850.00,1680.00,2378.00,870.00,9353.00,9046.00,37.00,11.00,14.00,33.00,34.00,5.00,7.00,0.00,14.00,41.00,33.00,247.00,37.00,314.00,582.00,1541.00
Clay,10.40,2016.00,2871.00,2756.00,4726.00,1677.00,16301.00,15425.00,145.00,19.00,18.00,16.00,19.00,110.00,49.00,0.00,16.00,149.00,108.00,419.00,107.00,643.00,1051.00,2679.00
Clay,10.40,2017.00,2871.00,2756.00,4726.00,1677.00,16151.00,15425.00,145.00,19.00,18.00,16.00,19.00,110.00,49.00,0.00,16.00,149.00,108.00,419.00,107.00,643.00,1051.00,2679.00
Clay,10.40,2018.00,2871.00,2756.00,4726.00,1677.00,16167.00,15425.00,145.00,19.00,18.00,16.00,19.00,110.00,49.00,0.00,16.00,149.00,108.00,419.00,107.00,643.00,1051.00,2679.00
Clay,10.40,2019.00,2871.00,2756.00,4726.00,1677.00,16094.00,15425.00,145.00,19.00,18.00,16.00,19.00,110.00,49.00,0.00,16.00,149.00,108.00,419.00,107.00,643.00,1051.00,2679.00
Clay,10.40,2020.00,2871.00,2756.00,4726.00,1677.00,15976.00,15425.00,145.00,19.00,18.00,16.00,19.00,110.00,49.00,0.00,16.00,149.00,108.00,419.00,107.00,643.00,1051.00,2679.00
Clayton,12.30,2016.00,3511.00,2625.00,5632.00,1578.00,17657.00,17047.00,57.00,138.00,60.00,42.00,21.00,74.00,16.00,0.00,16.00,61.00,45.00,165.00,80.00,730.00,981.00,3009.00
Clayton,12.30,2017.00,3511.00,2625.00,5632.00,1578.00,17647.00,17047.00,57.00,138.00,60.00,42.00,21.00,74.00,16.00,0.00,16.00,61.00,45.00,165.00,80.00,730.00,981.00,3009.00
Clayton,12.30,2018.00,3511.00,2625.00,5632.00,1578.00,17515.00,17047.00,57.00,138.00,60.00,42.00,21.00,74.00,16.00,0.00,16.00,61.00,45.00,165.00,80.00,730.00,981.00,3009.00
Clayton,12.30,2019.00,3511.00,2625.00,5632.00,1578.00,17497.00,17047.00,57.00,138.00,60.00,42.00,21.00,74.00,16.00,0.00,16.00,61.00,45.00,165.00,80.00,730.00,981.00,3009.00
Clayton,12.30,2020.00,3511.00,2625.00,5632.00,1578.00,17321.00,17047.00,57.00,138.00,60.00,42.00,21.00,74.00,16.00,0.00,16.00,61.00,45.00,165.00,80.00,730.00,981.00,3009.00
Clinton,13.70,2016.00,9515.00,7981.00,12752.00,4459.00,47285.00,43623.00,163.00,1338.00,202.00,118.00,98.00,311.00,87.00,3.00,4.00,76.00,51.00,1265.00,268.00,1986.00,2773.00,7288.00
Clinton,13.70,2017.00,9515.00,7981.00,12752.00,4459.00,46926.00,43623.00,163.00,1338.00,202.00,118.00,98.00,311.00,87.00,3.00,4.00,76.00,51.00,1265.00,268.00,1986.00,2773.00,7288.00
Clinton,13.70,2018.00,9515.00,7981.00,12752.00,4459.00,46506.00,43623.00,163.00,1338.00,202.00,118.00,98.00,311.00,87.00,3.00,4.00,76.00,51.00,1265.00,268.00,1986.00,2773.00,7288.00
Clinton,13.70,2019.00,9515.00,7981.00,12752.00,4459.00,46559.00,43623.00,163.00,1338.00,202.00,118.00,98.00,311.00,87.00,3.00,4.00,76.00,51.00,1265.00,268.00,1986.00,2773.00,7288.00
Clinton,13.70,2020.00,9515.00,7981.00,12752.00,4459.00,46392.00,43623.00,163.00,1338.00,202.00,118.00,98.00,311.00,87.00,3.00,4.00,76.00,51.00,1265.00,268.00,1986.00,2773.00,7288.00
Crawford,18.70,2016.00,3207.00,3036.00,3840.00,1719.00,17107.00,13847.00,732.00,528.00,65.00,95.00,63.00,387.00,27.00,23.00,31.00,1424.00,762.00,694.00,265.00,667.00,1186.00,2662.00
Crawford,18.70,2017.00,3207.00,3036.00,3840.00,1719.00,17065.00,13847.00,732.00,528.00,65.00,95.00,63.00,387.00,27.00,23.00,31.00,1424.00,762.00,694.00,265.00,667.00,1186.00,2662.00
Crawford,18.70,2018.00,3207.00,3036.00,3840.00,1719.00,17081.00,13847.00,732.00,528.00,65.00,95.00,63.00,387.00,27.00,23.00,31.00,1424.00,762.00,694.00,265.00,667.00,1186.00,2662.00
