"County","Year","Middle-Old","Middle-Young","Old","Young"
"Harrison",2020,2949,2353,3813,1418
"Henry",2011,4261,3569,4728,2318
"Henry",2012,4261,3569,4728,2318
"Henry",2013,4261,3569,4728,2318
"Henry",2014,4261,3569,4728,2318
"Henry",2015,4261,3569,4728,2318
"Henry",2016,3741,3553,5109,2288
"Henry",2017,3741,3553,5109,2288
"Henry",2018,3741,3553,5109,2288
"Henry",2019,3741,3553,5109,2288
"Henry",2020,3741,3553,5109,2288
"Howard",2011,2033,1519,2394,915
"Howard",2012,2033,1519,2394,915
"Howard",2013,2033,1519,2394,915
"Howard",2014,2033,1519,2394,915
"Howard",2015,2033,1519,2394,915
"Howard",2016,1742,1533,2525,851
"Howard",2017,1742,1533,2525,851
"Howard",2018,1742,1533,2525,851
"Howard",2019,1742,1533,2525,851
"Howard",2020,1742,1533,2525,851
"Humboldt",2011,2133,1526,2546,951
"Humboldt",2012,2133,1526,2546,951
"Humboldt",2013,2133,1526,2546,951
"Humboldt",2014,2133,1526,2546,951
"Humboldt",2015,2133,1526,2546,951
"Humboldt",2016,1718,1716,2765,868
"Humboldt",2017,1718,1716,2765,868
"Humboldt",2018,1718,1716,2765,868
"Humboldt",2019,1718,1716,2765,868
"Humboldt",2020,1718,1716,2765,868
"Ida",2011,1573,1101,1968,608
"Ida",2012,1573,1101,1968,608
"Ida",2013,1573,1101,1968,608
"Ida",2014,1573,1101,1968,608
"Ida",2015,1573,1101,1968,608
"Ida",2016,1199,1129,2054,624
"Ida",2017,1199,1129,2054,624
"Ida",2018,1199,1129,2054,624
"Ida",2019,1199,1129,2054,624
"Ida",2020,1199,1129,2054,624
"Iowa",2011,3723,2897,3978,1324
"Iowa",2012,3723,2897,3978,1324
"Iowa",2013,3723,2897,3978,1324
"Iowa",2014,3723,2897,3978,1324
"Iowa",2015,3723,2897,3978,1324
"Iowa",2016,3419,2793,4252,1607
"Iowa",2017,3419,2793,4252,1607
"Iowa",2018,3419,2793,4252,1607
"Iowa",2019,3419,2793,4252,1607
"Iowa",2020,3419,2793,4252,1607
"Jackson",2011,4397,3152,5278,1797
"Jackson",2012,4397,3152,5278,1797
"Jackson",2013,4397,3152,5278,1797
"Jackson",2014,4397,3152,5278,1797
"Jackson",2015,4397,3152,5278,1797
"Jackson",2016,4148,3130,5376,1846
"Jackson",2017,4148,3130,5376,1846
"Jackson",2018,4148,3130,5376,1846
"Jackson",2019,4148,3130,5376,1846
"Jackson",2020,4148,3130,5376,1846
"Jasper",2011,8092,6716,8974,3617
"Jasper",2012,8092,6716,8974,3617
"Jasper",2013,8092,6716,8974,3617
"Jasper",2014,8092,6716,8974,3617
"Jasper",2015,8092,6716,8974,3617
"Jasper",2016,7538,6813,9606,3722
"Jasper",2017,7538,6813,9606,3722
"Jasper",2018,7538,6813,9606,3722
"Jasper",2019,7538,6813,9606,3722
